title,link
인공지능 중심도시 광주 전략 구체화 속도,http://www.weeklytoday.com/news/articleView.html?idxno=117896
"광주 인공지능 산업, 정부 방침에 발맞춰 '속도'",http://www.newsprime.co.kr/news/article.html?no=480838
"광주시, ""인공지능 산업육성 정부와 공조""",http://www.newsrep.co.kr/news/articleView.html?idxno=95320
'인공지능 중심도시' 광주 선언…추진 배경·전략은,http://www.namdonews.com/news/articleView.html?idxno=558078
광주에 내년 3월 국내 최초 인공지능 사관학교 문 연다.,http://news.kmib.co.kr/article/view.asp?arcid=0013949351&code=61121111&cp=nv
"광주시, 내년 인공지능 클러스터 조성사업 본격화",http://www.getnews.co.kr/view.php?ud=201912121527338052c9cfb98f9e_16
"이용섭 광주시장, 인공지능 산업육성 위한 4자간 협약식 참석",http://www.enewstoday.co.kr/news/articleView.html?idxno=1345288
"광주시,'인공지능 4대강국 대한민국' 이끈다",http://www.aitimes.com/news/articleView.html?idxno=123638
"광주시, 인공지능 산업육성 정부와 발맞춰 간다",http://www.wikitree.co.kr/main/news_view.php?id=475688
"이용섭 광주시장, 취임 2주년 기자회견…광주형 일자리, 인공지능 큰 성과",http://www.nbnnews.co.kr/news/articleView.html?idxno=403256
'인공지능 중심도시 광주' 도약 첫 걸음 뗀다,https://www.jnilbo.com/view/media/view?code=2020012817094304422
'인공지능 중심도시' 광주 전략 구체화 박차,http://moneys.mt.co.kr/news/mwView.php?no=2019121213068088727
"광주광역시, 인공지능 인재양성 박차",http://moneys.mt.co.kr/news/mwView.php?no=2019111915148024164
"광주시, 인공지능 산업육성 정부와 발맞춰 간다",http://www.siminsori.com/news/articleView.html?idxno=219256
인공지능 사관학교 교육생 모집 인기…6월 20일 선발시험,http://yna.kr/AKR20200519050400054?did=1195m
광주시 인공지능사관학교 교육생 180명 모집,http://www.newsis.com/view/?id=NISX20200503_0001012525&cID=10809&pID=10800
광주 인공지능 사관학교 입학 '좋아요',http://www.namdonews.com/news/articleView.html?idxno=576740
광주 인공지능사관학교 7월 문 연다,http://www.bzeronews.com/news/articleView.html?idxno=438081
"호남대, AI사관학교 교육생 모집…기숙사·학비 무료",http://yna.kr/AKR20200513113900054?did=1195m
“AI전망 밝다”…광주인공지능사관학교 경쟁률 치열,http://news.heraldcorp.com/view.php?ud=20200526000879
"‘부럽지’ 이두희, 회사 대표→교장 선생님 등극…인공지능사관학교 설립 진행",http://www.hankookilbo.com/news/npath/202006140851012517?did=NA
인공지능 사관학교 설립 협약,http://yna.kr/PYH20191119152700054?did=1196m
광주 인공지능(AI) 사관학교 7월 개교,http://www.siminsori.com/news/articleView.html?idxno=221551
"인공지능 중심도시 광주, 인공지능 실무인재 양성 닻 올렸다",http://www.g-enews.com/ko-kr/news/article/news_all/20200702135429886bd57179a1_1/article.html
